fighter_name,height_cm,weight_pounds,reach_cm,stance,date_of_birth,f_wins,win_rate,f_losses,loss_rate,f_draws,draw_rate,f_dc_nc,dc_nc_rate,career_SLpM,career_StrAcc,career_SApM,career_StrDef,career_TD_Avg,career_TD_Acc,career_TD_Def,career_Sub_Avg
Tom Aaron,,155.0,,,1978-07-13,5,62,3,38,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0
Danny Abbadi,180.34,155.0,,Orthodox,1983-07-03,4,40,6,60,0,0,0.0,0,3.29,38,4.41,57,0.0,0,77,0.0
Nariman Abbasov,172.72,155.0,167.64,Orthodox,1994-02-01,28,88,4,12,0,0,0.0,0,3.0,20,5.67,46,0.0,0,66,0.0
David Abbott,182.88,265.0,,Switch,,10,40,15,60,0,0,0.0,0,1.35,30,3.55,38,1.07,33,66,0.0
Hamdy Abdelwahab,187.96,264.0,182.88,Southpaw,1993-01-22,6,86,0,0,0,0,1.0,14,3.4,51,3.87,51,2.0,80,100,0.0
Mansur Abdul-Malik,187.96,185.0,200.66,Orthodox,1997-10-07,7,100,0,0,0,0,0.0,0,6.61,54,4.21,53,0.0,0,75,0.0
Shamil Abdurakhimov,190.5,235.0,193.04,Orthodox,1981-09-02,20,71,8,29,0,0,0.0,0,2.41,44,3.02,55,1.01,23,45,0.1
Hiroyuki Abe,167.64,145.0,,Orthodox,,8,30,15,56,3,11,1.0,4,1.71,36,3.11,63,0.0,0,33,0.0
Daichi Abe,180.34,170.0,180.34,Orthodox,1991-11-27,6,75,2,25,0,0,0.0,0,3.8,33,4.49,56,0.33,50,0,0.0
Papy Abedi,180.34,185.0,,Southpaw,1978-06-30,10,71,4,29,0,0,0.0,0,2.8,55,3.15,48,3.47,57,50,1.3
Ricardo Abreu,180.34,185.0,,Orthodox,1984-04-27,5,83,1,17,0,0,0.0,0,3.79,31,3.98,68,2.13,42,100,0.7
Klidson Abreu,182.88,205.0,187.96,Orthodox,1992-12-24,15,75,4,20,0,0,1.0,5,2.05,40,2.9,55,0.64,20,80,0.0
Cyborg Abreu,,,,,1980-12-20,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0
